"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2019","107,979.17","107,365.66","108,025.59","107,362.47","1.82M","0.57%"
"Oct 25, 2019","107,363.77","106,989.54","108,083.26","106,989.54","5.40M","0.35%"
"Oct 24, 2019","106,986.15","107,552.72","107,744.08","106,592.72","5.62M","-0.52%"
"Oct 23, 2019","107,543.59","107,381.11","107,958.82","107,040.79","4.66M","0.15%"
"Oct 22, 2019","107,381.11","106,022.71","107,420.73","105,927.32","5.22M","1.28%"
"Oct 21, 2019","106,022.28","104,728.89","106,026.91","104,695.52","3.50M","1.23%"
"Oct 18, 2019","104,728.89","105,011.71","105,464.25","104,524.97","4.48M","-0.27%"
"Oct 17, 2019","105,015.77","105,388.63","105,891.19","104,826.61","4.19M","-0.39%"
"Oct 16, 2019","105,422.80","104,485.87","105,462.07","103,521.08","4.51M","0.89%"
"Oct 15, 2019","104,489.56","104,298.53","105,047.62","104,052.48","4.09M","0.18%"
"Oct 14, 2019","104,301.58","103,833.59","104,304.85","103,438.47","2.99M","0.45%"
"Oct 11, 2019","103,831.92","101,818.60","104,380.89","101,818.60","4.35M","1.98%"
"Oct 10, 2019","101,817.13","101,243.74","102,482.98","101,152.12","4.37M","0.56%"
"Oct 09, 2019","101,248.78","100,005.44","101,566.59","100,005.44","3.94M","1.27%"
"Oct 08, 2019","99,981.40","100,564.60","101,296.28","99,867.59","4.34M","-0.59%"
"Oct 07, 2019","100,572.77","102,546.02","102,546.02","100,541.89","3.94M","-1.93%"
"Oct 04, 2019","102,551.32","101,516.04","102,579.55","101,057.36","4.65M","1.02%"
"Oct 03, 2019","101,516.04","101,031.44","101,560.23","99,826.30","4.67M","0.48%"
"Oct 02, 2019","101,031.44","104,049.12","104,049.12","100,943.82","5.07M","-2.90%"
"Oct 01, 2019","104,053.40","104,745.06","105,121.16","103,837.47","4.10M","-0.66%"
"Sep 30, 2019","104,745.32","105,077.45","105,177.50","104,638.18","3.90M","-0.32%"
"Sep 27, 2019","105,077.63","105,319.40","105,632.94","104,505.69","3.47M","-0.23%"
"Sep 26, 2019","105,319.40","104,485.18","105,342.30","104,337.39","4.14M","0.80%"
"Sep 25, 2019","104,480.98","103,856.87","104,480.98","103,033.84","4.12M","0.58%"
"Sep 24, 2019","103,875.66","104,637.51","104,892.90","103,503.53","3.97M","-0.73%"
"Sep 23, 2019","104,637.82","104,817.39","104,817.39","104,019.50","6.77M","-0.17%"
"Sep 20, 2019","104,817.40","104,339.16","105,044.50","103,913.50","6.77M","0.46%"
"Sep 19, 2019","104,339.16","104,555.31","106,001.35","104,285.83","4.92M","-0.18%"
"Sep 18, 2019","104,531.93","104,616.28","104,761.84","103,684.12","3.88M","-0.08%"
"Sep 17, 2019","104,616.86","103,679.69","104,618.93","103,078.89","4.57M","0.90%"
"Sep 16, 2019","103,680.41","103,495.52","104,004.61","102,782.33","6.04M","0.17%"
"Sep 13, 2019","103,501.18","104,371.10","104,699.20","103,274.91","4.04M","-0.83%"
"Sep 12, 2019","104,370.91","103,452.52","104,618.01","103,452.52","4.96M","0.89%"
"Sep 11, 2019","103,445.60","103,035.89","104,155.86","103,035.89","4.88M","0.40%"
"Sep 10, 2019","103,031.50","103,179.94","103,503.45","102,230.73","5.48M","-0.14%"
"Sep 09, 2019","103,180.59","102,936.68","104,259.77","102,792.78","5.52M","0.24%"
"Sep 06, 2019","102,935.43","102,246.83","103,181.64","102,245.98","3.98M","0.68%"
"Sep 05, 2019","102,243.00","101,203.84","103,258.48","101,203.84","4.81M","1.03%"
"Sep 04, 2019","101,200.89","99,705.69","101,200.89","99,705.69","4.31M","1.52%"
"Sep 03, 2019","99,680.83","100,626.38","101,416.66","99,406.15","4.33M","-0.94%"
"Sep 02, 2019","100,625.74","101,132.51","101,611.02","100,625.74","2.69M","-0.50%"
"Aug 30, 2019","101,134.61","100,526.27","101,551.35","100,526.27","6.11M","0.61%"
"Aug 29, 2019","100,524.43","98,194.11","100,683.87","98,194.11","5.16M","2.37%"
"Aug 28, 2019","98,193.53","97,273.35","98,346.03","96,557.06","4.35M","0.94%"
"Aug 27, 2019","97,276.19","96,434.30","97,950.98","95,855.30","6.58M","0.88%"
"Aug 26, 2019","96,429.60","97,686.54","98,435.96","95,960.74","4.14M","-1.27%"
"Aug 23, 2019","97,667.49","100,007.25","100,024.83","97,085.21","5.67M","-2.34%"
"Aug 22, 2019","100,011.28","101,209.02","101,469.05","100,011.28","4.50M","-1.18%"
"Aug 21, 2019","101,201.90","99,227.12","101,240.13","99,221.27","5.97M","2.00%"
"Aug 20, 2019","99,222.25","99,471.93","99,664.75","98,002.03","5.24M","-0.25%"
"Aug 19, 2019","99,468.67","99,809.52","100,947.60","98,908.19","4.92M","-0.34%"
"Aug 16, 2019","99,805.78","99,059.12","100,566.93","99,059.12","5.48M","0.76%"
"Aug 15, 2019","99,056.91","100,262.03","101,014.41","98,200.36","6.59M","-1.20%"
"Aug 14, 2019","100,258.01","103,270.08","103,270.08","99,954.75","6.49M","-2.94%"
"Aug 13, 2019","103,299.47","101,912.15","103,778.22","101,414.44","5.20M","1.36%"
"Aug 12, 2019","101,915.22","103,945.84","103,945.84","101,621.22","4.51M","-2.00%"
"Aug 09, 2019","103,996.16","104,101.95","104,848.18","103,546.67","4.69M","-0.11%"
"Aug 08, 2019","104,115.23","102,782.37","104,281.89","102,782.37","5.71M","1.30%"
"Aug 07, 2019","102,782.37","102,163.25","102,784.21","100,476.12","5.74M","0.61%"
"Aug 06, 2019","102,163.69","100,097.51","102,178.08","100,097.51","5.23M","2.06%"
"Aug 05, 2019","100,097.75","102,657.77","102,657.77","99,630.09","5.16M","-2.51%"
"Aug 02, 2019","102,673.68","102,122.39","103,179.66","101,667.02","5.08M","0.54%"
"Aug 01, 2019","102,125.94","101,818.93","104,055.69","101,818.93","7.35M","0.31%"
"Jul 31, 2019","101,812.13","102,945.65","103,128.70","100,950.36","5.23M","-1.09%"
"Jul 30, 2019","102,932.76","103,482.87","103,554.99","102,596.13","4.19M","-0.53%"
"Jul 29, 2019","103,482.63","102,817.42","103,482.63","102,460.82","3.67M","0.65%"
"Jul 26, 2019","102,818.93","102,653.90","103,209.05","102,196.31","5.30M","0.16%"
"Jul 25, 2019","102,654.58","104,118.80","104,439.70","102,390.47","5.98M","-1.41%"
"Jul 24, 2019","104,119.54","103,706.64","104,570.36","103,706.64","5.02M","0.40%"
"Jul 23, 2019","103,704.28","103,949.46","104,429.57","103,518.20","4.18M","-0.24%"
"Jul 22, 2019","103,949.46","103,451.93","104,278.14","103,451.93","3.57M","0.48%"
"Jul 19, 2019","103,451.93","104,716.41","104,722.64","103,387.84","3.59M","-1.21%"
"Jul 18, 2019","104,716.59","103,859.36","104,773.05","103,859.36","4.55M","0.83%"
"Jul 17, 2019","103,855.53","103,775.14","104,453.09","103,711.71","3.94M","0.08%"
"Jul 16, 2019","103,775.41","103,805.39","104,439.98","103,361.08","4.61M","-0.03%"
"Jul 15, 2019","103,802.69","103,909.11","104,577.91","103,494.84","4.12M","-0.10%"
"Jul 12, 2019","103,905.99","105,157.57","105,730.54","103,903.06","4.89M","-1.18%"
"Jul 11, 2019","105,146.44","105,818.26","105,885.50","104,813.51","5.00M","-0.63%"
"Jul 10, 2019","105,817.06","104,536.70","106,650.12","104,536.70","7.03M","1.23%"
"Jul 08, 2019","104,530.22","104,090.14","104,679.30","103,987.99","3.61M","0.42%"
"Jul 05, 2019","104,089.47","103,628.28","104,175.90","102,621.70","4.34M","0.44%"
"Jul 04, 2019","103,636.17","102,046.55","104,021.60","102,046.55","4.10M","1.56%"
"Jul 03, 2019","102,043.11","100,576.27","102,176.96","100,451.36","4.95M","1.43%"
"Jul 02, 2019","100,605.17","101,342.31","101,564.53","100,072.77","5.10M","-0.72%"
"Jul 01, 2019","101,339.68","100,973.48","102,431.61","100,973.48","424.32K","0.37%"
"Jun 28, 2019","100,967.20","100,726.43","101,562.52","100,726.43","4.21M","0.24%"
"Jun 27, 2019","100,723.97","100,688.63","101,024.95","99,420.64","4.28M","0.04%"
"Jun 26, 2019","100,688.63","100,094.59","101,126.24","100,094.59","5.17M","0.60%"
"Jun 25, 2019","100,092.95","102,061.44","102,061.44","99,890.22","4.61M","-1.93%"
"Jun 24, 2019","102,062.33","102,017.56","102,617.31","101,588.92","3.67M","0.05%"
"Jun 21, 2019","102,012.64","100,304.79","102,099.65","100,304.79","5.66M","1.70%"
"Jun 19, 2019","100,303.41","99,403.24","100,327.15","98,977.84","4.55M","0.90%"
"Jun 18, 2019","99,404.39","97,633.36","99,411.78","97,633.36","4.66M","1.82%"
"Jun 17, 2019","97,623.25","98,037.52","98,439.36","97,622.65","4.05M","-0.43%"
