"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2019","13.21","13.22","13.27","13.07","-","0.38%"
"Oct 25, 2019","13.16","13.49","13.49","13.11","9.13M","-2.45%"
"Oct 24, 2019","13.49","13.60","13.61","13.42","7.87M","-0.59%"
"Oct 23, 2019","13.57","13.70","13.74","13.47","6.64M","-0.95%"
"Oct 22, 2019","13.70","13.70","13.91","13.61","9.58M","0.00%"
"Oct 21, 2019","13.70","13.72","13.76","13.61","7.30M","0.37%"
"Oct 18, 2019","13.65","13.83","13.90","13.63","9.40M","-1.94%"
"Oct 17, 2019","13.92","13.80","14.00","13.76","9.74M","0.58%"
"Oct 16, 2019","13.84","13.84","13.92","13.58","8.70M","-0.43%"
"Oct 15, 2019","13.90","13.88","13.99","13.82","6.26M","0.22%"
"Oct 14, 2019","13.87","13.90","13.98","13.78","4.11M","0.00%"
"Oct 11, 2019","13.87","13.80","14.05","13.70","9.76M","1.46%"
"Oct 10, 2019","13.67","13.78","14.01","13.67","9.84M","-0.94%"
"Oct 09, 2019","13.80","13.83","13.95","13.54","9.50M","-0.07%"
"Oct 08, 2019","13.81","13.79","14.03","13.64","7.67M","0.22%"
"Oct 07, 2019","13.78","13.92","13.97","13.70","7.06M","-1.29%"
"Oct 04, 2019","13.96","14.05","14.13","13.76","10.62M","0.14%"
"Oct 03, 2019","13.94","14.11","14.22","13.85","8.97M","-1.06%"
"Oct 02, 2019","14.09","14.38","14.40","14.09","6.74M","-2.83%"
"Oct 01, 2019","14.50","14.32","14.54","14.22","13.12M","1.19%"
"Sep 30, 2019","14.33","14.18","14.38","14.09","6.95M","1.63%"
"Sep 27, 2019","14.10","14.14","14.22","14.02","5.97M","0.00%"
"Sep 26, 2019","14.10","13.93","14.14","13.93","5.16M","1.44%"
"Sep 25, 2019","13.90","14.00","14.03","13.64","18.71M","-1.07%"
"Sep 24, 2019","14.05","14.27","14.39","13.87","12.16M","-1.06%"
"Sep 23, 2019","14.20","14.36","14.37","14.15","5.36M","-0.63%"
"Sep 20, 2019","14.29","14.45","14.48","14.18","11.22M","-0.42%"
"Sep 19, 2019","14.35","14.35","14.59","14.32","8.91M","0.35%"
"Sep 18, 2019","14.30","14.40","14.50","14.22","8.78M","-0.83%"
"Sep 17, 2019","14.42","14.16","14.42","14.08","25.42M","2.20%"
"Sep 16, 2019","14.11","14.26","14.38","14.11","9.70M","-2.22%"
"Sep 13, 2019","14.43","14.70","14.75","14.31","11.65M","-1.77%"
"Sep 12, 2019","14.69","14.80","15.04","14.61","9.35M","-0.27%"
"Sep 11, 2019","14.73","14.49","14.73","14.41","6.56M","2.29%"
"Sep 10, 2019","14.40","14.50","14.57","14.27","7.25M","-0.48%"
"Sep 09, 2019","14.47","14.72","14.89","14.47","8.16M","-1.63%"
"Sep 06, 2019","14.71","14.94","14.94","14.52","8.01M","-0.74%"
"Sep 05, 2019","14.82","14.73","14.93","14.69","7.22M","0.88%"
"Sep 04, 2019","14.69","14.79","14.83","14.59","8.17M","0.55%"
"Sep 03, 2019","14.61","14.80","15.05","14.59","9.04M","-1.95%"
