"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2019","37.38","36.80","37.42","36.55","-","1.58%"
"Oct 25, 2019","36.80","36.55","37.13","36.34","-","0.66%"
"Oct 24, 2019","36.56","36.46","36.83","36.13","-","0.47%"
"Oct 23, 2019","36.39","35.59","36.75","35.51","-","1.42%"
"Oct 22, 2019","35.88","34.77","35.89","34.67","-","3.10%"
"Oct 21, 2019","34.80","34.26","34.87","33.99","-","1.64%"
"Oct 18, 2019","34.24","34.62","34.62","34.15","-","-1.18%"
"Oct 17, 2019","34.65","34.85","35.13","34.32","-","-0.60%"
"Oct 16, 2019","34.86","34.47","34.98","33.83","-","1.43%"
"Oct 15, 2019","34.37","34.48","34.64","34.19","-","-0.23%"
"Oct 14, 2019","34.45","33.81","34.54","33.72","-","1.68%"
"Oct 11, 2019","33.88","33.60","34.28","33.59","-","1.29%"
"Oct 10, 2019","33.45","33.10","33.56","33.01","-","0.72%"
"Oct 09, 2019","33.21","32.99","33.44","32.63","-","1.59%"
"Oct 08, 2019","32.69","33.12","33.27","32.56","-","-0.43%"
"Oct 07, 2019","32.83","33.29","33.64","32.78","-","-1.85%"
"Oct 04, 2019","33.45","33.23","33.50","32.77","-","0.48%"
"Oct 03, 2019","33.29","33.24","33.60","32.85","-","0.03%"
"Oct 02, 2019","33.28","33.85","33.94","33.12","-","-2.75%"
"Oct 01, 2019","34.22","35.22","35.31","34.20","-","-2.31%"
"Sep 30, 2019","35.03","35.55","35.79","35.03","-","-1.41%"
"Sep 27, 2019","35.53","35.59","35.64","34.97","-","-0.42%"
"Sep 26, 2019","35.68","34.88","35.70","34.60","-","2.88%"
"Sep 25, 2019","34.68","34.19","34.92","34.05","-","1.17%"
"Sep 24, 2019","34.28","34.82","34.89","34.11","-","-1.04%"
"Sep 23, 2019","34.64","34.70","34.72","34.20","-","-0.32%"
"Sep 20, 2019","34.75","34.88","35.10","34.62","-","0.26%"
"Sep 19, 2019","34.66","35.54","35.83","34.52","-","-1.67%"
"Sep 18, 2019","35.25","35.37","35.64","34.83","-","-0.31%"
"Sep 17, 2019","35.36","34.90","35.45","34.87","-","0.37%"
"Sep 16, 2019","35.23","35.53","35.62","34.91","-","-1.78%"
"Sep 13, 2019","35.87","35.51","36.41","35.51","-","1.36%"
"Sep 12, 2019","35.39","35.50","35.60","35.15","-","0.63%"
"Sep 11, 2019","35.17","35.51","35.68","34.99","-","-0.45%"
"Sep 10, 2019","35.33","36.11","36.29","35.09","-","-1.94%"
"Sep 09, 2019","36.03","35.37","36.30","35.36","-","2.45%"
"Sep 06, 2019","35.17","34.25","35.23","34.25","-","3.35%"
"Sep 05, 2019","34.03","33.42","34.66","33.39","-","2.84%"
"Sep 04, 2019","33.09","33.28","33.31","32.81","-","0.70%"
"Sep 03, 2019","32.86","33.51","33.81","32.77","-","-1.91%"
"Sep 02, 2019","33.50","33.90","34.19","33.50","-","-1.30%"
"Aug 30, 2019","33.94","34.53","34.56","33.78","-","-0.44%"
"Aug 29, 2019","34.09","34.05","34.47","33.54","-","0.53%"
"Aug 28, 2019","33.91","33.22","34.09","33.16","-","1.13%"
"Aug 27, 2019","33.53","33.15","33.93","33.08","-","1.18%"
"Aug 26, 2019","33.14","33.41","33.43","32.69","-","-0.03%"
"Aug 23, 2019","33.15","33.09","33.90","32.93","-","-1.16%"
"Aug 22, 2019","33.54","34.15","34.33","33.50","-","-1.58%"
"Aug 21, 2019","34.08","34.19","34.34","33.76","-","0.77%"
"Aug 20, 2019","33.82","34.37","34.45","33.55","-","-1.11%"
"Aug 19, 2019","34.20","34.65","34.87","33.91","-","-0.44%"
"Aug 16, 2019","34.35","34.80","34.86","34.13","-","-1.86%"
"Aug 15, 2019","35.00","35.48","35.48","34.81","-","-0.28%"
"Aug 14, 2019","35.10","35.40","35.57","35.02","20.68M","-2.20%"
"Aug 13, 2019","35.89","35.18","36.12","35.12","13.61M","1.96%"
"Aug 12, 2019","35.20","36.00","36.04","35.19","20.09M","-4.14%"
"Aug 09, 2019","36.72","36.99","37.00","36.35","11.81M","-0.76%"
"Aug 08, 2019","37.00","37.00","37.35","36.67","30.13M","0.54%"
"Aug 07, 2019","36.80","35.07","36.80","34.96","31.90M","3.69%"
"Aug 06, 2019","35.49","34.94","35.49","34.80","17.71M","3.02%"
"Aug 05, 2019","34.45","34.20","34.72","34.04","21.22M","-1.37%"
"Aug 02, 2019","34.93","35.00","35.20","34.58","27.78M","0.14%"
"Aug 01, 2019","34.88","35.21","36.12","34.88","32.71M","0.17%"
"Jul 31, 2019","34.82","35.74","35.78","34.70","35.37M","-2.66%"
"Jul 30, 2019","35.77","36.80","36.80","35.66","43.98M","-3.32%"
"Jul 29, 2019","37.00","36.76","37.27","36.45","20.07M","0.41%"
"Jul 26, 2019","36.85","36.48","37.08","36.01","-","1.80%"
"Jul 25, 2019","36.20","37.65","37.65","35.98","-","-3.08%"
"Jul 24, 2019","37.35","37.50","37.75","37.13","-","-0.08%"
"Jul 23, 2019","37.38","37.25","37.55","36.73","-","0.97%"
"Jul 22, 2019","37.02","36.69","37.25","36.62","-","1.70%"
"Jul 19, 2019","36.40","37.08","37.28","36.40","-","-2.60%"
"Jul 18, 2019","37.37","36.47","37.37","36.46","-","2.66%"
"Jul 17, 2019","36.40","36.59","36.92","36.38","-","-0.27%"
"Jul 16, 2019","36.50","36.40","36.65","36.21","-","0.39%"
"Jul 15, 2019","36.36","36.68","36.70","36.12","-","-0.27%"
"Jul 12, 2019","36.46","37.45","37.46","36.46","-","-1.86%"
"Jul 11, 2019","37.15","36.97","37.15","36.58","-","-0.13%"
"Jul 10, 2019","37.20","37.53","37.72","36.95","-","-0.27%"
"Jul 08, 2019","37.30","37.47","37.50","37.06","-","-0.27%"
"Jul 05, 2019","37.40","36.84","37.45","36.67","-","1.11%"
"Jul 04, 2019","36.99","36.77","37.50","36.71","-","1.15%"
"Jul 03, 2019","36.57","35.70","36.65","35.63","-","1.72%"
"Jul 02, 2019","35.95","36.05","36.32","35.71","1.23M","-0.36%"
