"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2019","50.28","50.81","50.85","50.06","-","-0.44%"
"Oct 25, 2019","50.50","49.10","50.50","49.01","8.03M","2.50%"
"Oct 24, 2019","49.27","51.09","51.23","49.09","11.13M","-3.56%"
"Oct 23, 2019","51.09","51.90","51.90","50.74","3.80M","-1.58%"
"Oct 22, 2019","51.91","51.88","52.72","51.55","2.83M","-0.35%"
"Oct 21, 2019","52.09","51.72","52.09","51.05","1.68M","1.54%"
"Oct 18, 2019","51.30","51.77","52.15","51.19","3.43M","-0.91%"
"Oct 17, 2019","51.77","51.82","52.58","51.45","2.01M","-0.12%"
"Oct 16, 2019","51.83","51.38","51.83","50.57","4.29M","1.03%"
"Oct 15, 2019","51.30","50.70","51.41","50.27","2.75M","1.12%"
"Oct 14, 2019","50.73","50.00","50.84","49.86","2.71M","0.87%"
"Oct 11, 2019","50.29","48.95","51.17","48.89","5.68M","3.50%"
"Oct 10, 2019","48.59","49.16","49.40","48.30","2.42M","-0.69%"
"Oct 09, 2019","48.93","48.99","49.15","48.32","3.26M","1.05%"
"Oct 08, 2019","48.42","48.40","49.07","47.64","3.25M","0.04%"
"Oct 07, 2019","48.40","48.58","49.40","47.90","3.74M","-1.14%"
"Oct 04, 2019","48.96","48.78","49.40","48.16","4.81M","0.37%"
"Oct 03, 2019","48.78","48.76","49.11","47.72","2.99M","0.56%"
"Oct 02, 2019","48.51","50.02","50.23","48.51","2.97M","-3.92%"
"Oct 01, 2019","50.49","50.51","50.68","49.52","2.40M","0.04%"
"Sep 30, 2019","50.47","50.34","50.69","49.91","3.16M","0.58%"
"Sep 27, 2019","50.18","50.00","50.68","49.75","2.71M","0.22%"
"Sep 26, 2019","50.07","49.60","50.14","49.19","2.47M","1.21%"
"Sep 25, 2019","49.47","49.52","49.52","48.30","3.07M","0.10%"
"Sep 24, 2019","49.42","49.72","49.72","48.76","2.69M","0.10%"
"Sep 23, 2019","49.37","50.11","50.17","49.22","1.84M","-1.30%"
"Sep 20, 2019","50.02","49.92","50.48","49.54","6.26M","-1.11%"
"Sep 19, 2019","50.58","50.17","51.27","49.98","4.92M","1.93%"
"Sep 18, 2019","49.62","49.60","49.76","48.87","2.47M","0.55%"
"Sep 17, 2019","49.35","48.64","49.51","48.45","4.58M","1.50%"
"Sep 16, 2019","48.62","48.92","49.25","48.05","4.25M","-0.21%"
"Sep 13, 2019","48.72","50.28","50.28","48.44","4.07M","-3.16%"
"Sep 12, 2019","50.31","51.25","51.83","50.02","3.86M","-1.41%"
"Sep 11, 2019","51.03","50.70","51.03","50.10","4.97M","3.20%"
"Sep 10, 2019","49.45","49.20","49.45","48.30","3.75M","-0.08%"
"Sep 09, 2019","49.49","50.04","50.11","48.80","4.11M","-0.96%"
"Sep 06, 2019","49.97","50.40","50.63","49.56","1.89M","-0.56%"
"Sep 05, 2019","50.25","50.60","50.98","49.94","3.32M","-0.53%"
"Sep 04, 2019","50.52","50.30","50.52","49.47","2.14M","1.55%"
"Sep 03, 2019","49.75","50.03","51.45","49.29","2.34M","-1.17%"
"Sep 02, 2019","50.34","50.95","51.24","50.03","1.32M","-0.42%"
